City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,sena madureira,-9.0656,-68.6569,30.75,27,69,1.01,BR,1725838671
222,yinchuan,38.4681,106.2731,20.18,68,100,3.42,CN,1725838672
223,antanifotsy,-19.65,47.3167,14.39,46,82,0.19,MG,1725838673
224,usinsk,65.9939,57.5281,3.9,85,45,3.5,RU,1725838675
225,rafraf,37.1904,10.1837,23.73,92,100,8.81,TN,1725838676
226,nova sintra,14.8667,-24.7167,26.7,80,100,6.42,CV,1725838677
227,aquidauana,-20.4711,-55.7872,30.41,18,35,1.59,BR,1725838679
228,healesville,-37.65,145.5167,13.87,66,70,2.33,AU,1725838655
229,sechura,-5.5569,-80.8222,17.58,85,45,7.27,PE,1725838682
230,novodvinsk,64.4165,40.8122,13.86,85,64,2.46,RU,1725838683
231,alofi,-19.0595,-169.9187,26.94,74,40,4.63,NU,1725838684
232,port saint john's,-31.6229,29.5448,13.01,89,100,3.04,ZA,1725838685
233,riosucio,5.4216,-75.7032,17.82,90,75,1.09,CO,1725838686
234,taroa,8.7058,171.2275,28.79,75,15,5.31,MH,1725838687
235,srandakan,-7.9386,110.2506,26.15,81,18,2.68,ID,1725838688
236,pindushi,62.9152,34.58,11.71,82,80,1.87,RU,1725838690
237,stuarts draft,38.0301,-79.0336,17.45,66,0,0.0,US,1725838691
238,wailua homesteads,22.0669,-159.378,28.96,64,0,4.63,US,1725838692
239,haiku-pauwela,20.9219,-156.3051,27.16,70,8,1.79,US,1725838693
240,puerto leguizamo,-0.1934,-74.7819,23.21,97,67,1.34,CO,1725838694
241,clayton,33.5335,-84.3666,26.82,62,40,2.06,US,1725838695
242,inirida,3.8653,-67.9239,27.14,71,57,0.8,CO,1725838696
243,magadan,59.5667,150.8,12.21,63,21,1.92,RU,1725838698
244,astrakhan,46.3497,48.0408,16.93,59,0,4.0,RU,1725838699
245,afaahiti,-17.75,-149.2833,22.82,69,26,9.81,PF,1725838700
246,abadan,30.3392,48.3043,27.97,57,0,1.03,IR,1725838701
247,kapuskasing,49.4169,-82.4331,16.0,36,40,3.09,CA,1725838702
248,yangchun,22.1667,111.7833,26.47,94,100,1.24,CN,1725838703
249,babu,24.4167,111.5167,26.25,91,99,0.16,CN,1725838704
250,nikolayevsk-on-amure,53.1406,140.73,12.92,56,24,3.5,RU,1725838706
251,fort mcmurray,56.7268,-111.381,29.77,34,100,4.63,CA,1725838707
252,nizwa,22.9333,57.5333,29.02,51,1,1.75,OM,1725838708
253,pirallahi,40.4723,50.333,19.08,68,1,6.19,AZ,1725838709
254,vadso,70.0744,29.7487,16.09,82,75,3.09,NO,1725838710
255,cherdyn',60.403,56.4787,10.17,90,62,1.02,RU,1725838711
256,san antonio de pale,-1.4014,5.6325,24.35,84,44,5.84,GQ,1725838712
257,shimokizukuri,40.8061,140.3861,25.29,68,90,0.57,JP,1725838714
258,afif,23.9065,42.9172,30.88,16,78,4.58,SA,1725838715
259,olhao,37.0286,-7.8411,21.94,60,0,7.2,PT,1725838716
260,nemuro,43.3236,145.575,18.32,78,0,8.23,JP,1725838717
261,neryungri,56.6709,124.6491,6.97,94,100,1.36,RU,1725838718
262,tamanrasset,22.785,5.5228,25.95,47,0,1.54,DZ,1725838719
263,abepura,-2.6333,140.5833,27.45,78,40,2.06,ID,1725838721
264,puerto lempira,15.2667,-83.7667,31.08,66,20,0.0,HN,1725838722
265,bengkulu,-3.8004,102.2655,24.96,89,90,1.03,ID,1725838723
266,sarkand,45.41,79.9186,11.81,29,29,2.45,KZ,1725838724
267,rio gallegos,-51.6226,-69.2181,5.03,60,0,9.77,AR,1725838725
268,tarawa,1.419,172.984,31.05,70,20,5.66,KI,1725838726
269,breves,-1.6822,-50.4803,28.21,49,33,3.15,BR,1725838728
270,island harbour,50.724,-1.2758,16.66,72,82,3.13,GB,1725838729
271,frostburg,39.6581,-78.9284,13.45,50,0,2.13,US,1725838730
272,plettenberg bay,-34.0527,23.3716,9.37,87,92,0.8,ZA,1725838731
273,gonabad,34.3529,58.6837,19.07,20,0,3.07,IR,1725838732
274,west end,26.6833,-78.9667,29.07,75,13,3.23,BS,1725838733
275,zaranj,30.9667,61.8833,23.56,16,0,15.11,AF,1725838736
276,kirakira,-10.4544,161.9205,28.42,67,85,6.98,SB,1725838737
277,pimentel,-6.8367,-79.9342,18.16,77,20,7.72,PE,1725838738
278,avia terai,-26.6853,-60.7292,26.96,26,0,2.17,AR,1725838739
279,tual,-5.6667,132.75,26.49,70,32,8.98,ID,1725838740
280,mishelevka,52.8575,103.1719,8.29,82,85,0.57,RU,1725838741
281,mbeni,-11.5014,43.3775,21.31,80,7,0.96,KM,1725838743
282,barra do corda,-5.5,-45.25,27.95,31,36,1.96,BR,1725838744
283,pacific grove,36.6177,-121.9166,22.99,86,0,3.58,US,1725838745
284,freetown,8.484,-13.2299,25.84,89,75,5.14,SL,1725838746
285,hamilton,39.1834,-84.5333,19.87,43,24,0.45,US,1725838747
286,trinidad,-14.8333,-64.9,31.99,48,1,1.54,BO,1725838748
287,al jawf,29.5,38.75,26.73,33,0,2.92,SA,1725838749
288,xi'an,34.2583,108.9286,27.45,61,7,0.95,CN,1725838751
289,namdrik,5.5994,168.1028,28.83,76,41,6.42,MH,1725838752
290,taro,-8.3862,115.28,22.69,87,41,0.61,ID,1725838753
291,east london,-33.0153,27.9116,13.23,70,88,4.9,ZA,1725838754
292,tasqala,51.1167,50.3167,18.03,59,77,2.91,KZ,1725838755
293,fale old settlement,-9.3852,-171.2468,28.25,70,4,7.53,TK,1725838756
294,klaksvik,62.2266,-6.589,9.97,70,18,6.47,FO,1725838758
295,mana,5.6592,-53.7767,26.93,80,5,6.57,GF,1725838759
296,xining,36.6167,101.7667,11.93,96,100,1.32,CN,1725838760
297,palangkaraya,-2.2,113.8333,26.2,87,86,0.4,ID,1725838762
298,kudahuvadhoo,2.6708,72.8944,28.27,74,96,3.4,MV,1725838764
299,kaindy,42.8247,73.6759,16.71,57,100,3.27,KG,1725838765
300,pekanbaru,0.5333,101.45,25.18,94,20,2.06,ID,1725838766
301,mermoz boabab,14.7065,-17.4758,26.88,78,40,4.12,SN,1725838767
302,tharangambadi,11.0319,79.8528,26.82,70,100,4.73,IN,1725838768
303,santa isabel,-23.3156,-46.2214,23.61,43,0,1.25,BR,1725838769
304,hilo,19.7297,-155.09,29.41,66,20,7.2,US,1725838770
305,perry heights,40.7953,-81.4735,19.23,39,20,3.6,US,1725838772
306,siracusa,37.0881,15.2792,28.22,37,100,3.92,IT,1725838773
307,tambopata,-12.7333,-69.1833,29.94,74,2,1.03,PE,1725838774
308,iskitim,54.6366,83.3045,10.3,94,100,4.75,RU,1725838742
309,salumbar,24.1333,74.05,23.95,94,96,3.04,IN,1725838776
310,konarka,19.9,86.1167,26.86,92,98,7.69,IN,1725838777
311,mossel bay,-34.1831,22.146,8.96,79,69,0.99,ZA,1725838778
312,agat village,13.3886,144.6585,31.52,81,40,4.12,GU,1725838780
313,namie,37.4833,141.0,23.88,96,75,1.44,JP,1725838781
314,broome,42.2506,-75.833,14.62,55,6,1.79,US,1725838782
315,bikenibeu village,1.3673,173.1241,30.98,70,20,5.66,KI,1725838783
316,alta,69.9689,23.2717,17.59,72,0,2.06,NO,1725838784
317,cole harbour,44.6724,-63.4751,17.88,96,100,2.06,CA,1725838785
318,katsuura,35.1333,140.3,27.54,81,0,3.4,JP,1725838786
319,kristiansund,63.1115,7.732,16.36,94,100,3.09,NO,1725838788
320,gagra,43.3283,40.2239,25.51,68,86,4.83,GE,1725838790
321,enewetak,11.3474,162.3373,29.05,75,40,7.08,MH,1725838791
322,magdagachi,53.45,125.8,15.1,65,100,4.72,RU,1725838792
323,tarime,-1.35,34.3667,19.07,79,100,1.43,TZ,1725838793
324,cidade velha,14.9167,-23.6167,27.26,74,75,6.17,CV,1725838794
325,neiafu,-18.65,-173.9833,26.38,83,75,5.66,TO,1725838796
326,nema,57.5067,50.5011,13.29,70,98,0.5,RU,1725838797
327,sambava,-14.2667,50.1667,20.52,85,87,0.35,MG,1725838798
328,chekmagush,55.1319,54.6556,15.78,82,24,1.68,RU,1725838799
329,rio grande,-32.035,-52.0986,14.75,91,98,4.48,BR,1725838800
330,fort st. john,56.2499,-120.8529,13.94,72,75,6.17,CA,1725838801
331,tongchuanshi,35.0806,109.0897,24.92,78,79,1.4,CN,1725838802
332,khandyga,62.6667,135.6,8.03,69,100,1.86,RU,1725838804
333,ta`u,-14.2336,-169.5144,26.47,82,73,5.31,AS,1725838805
334,igrim,63.1906,64.4162,5.8,73,48,0.8,RU,1725838806
335,pong nam ron,12.9058,102.2623,23.71,96,87,2.34,TH,1725838807
336,antofagasta,-23.65,-70.4,14.6,88,34,3.07,CL,1725838808
337,plastun,44.7561,136.2939,22.0,59,4,0.74,RU,1725838809
338,surgeres,46.1,-0.75,17.85,91,60,5.68,FR,1725838810
339,oranjemund,-28.55,16.4333,11.54,82,0,9.25,NA,1725838812
340,alotau,-10.3069,150.4462,27.32,58,81,2.32,PG,1725838813
341,patur,20.45,76.9333,23.5,87,100,3.86,IN,1725838814
342,arinos,-15.9169,-46.1056,23.08,26,0,0.68,BR,1725838815
343,moanda,-1.5575,13.2178,22.07,96,100,0.73,GA,1725838816
344,porto velho,-8.7619,-63.9039,30.03,62,9,0.51,BR,1725838817
345,ust-tsilma,65.441,52.1498,6.43,82,78,1.37,RU,1725838818
346,phan rang-thap cham,11.5667,108.9833,28.76,65,100,1.71,VN,1725838820
347,hasaki,35.7333,140.8333,27.08,80,14,2.07,JP,1725838821
348,callao,-12.0667,-77.15,20.95,82,75,4.63,PE,1725838822
349,colonia menno,-22.3667,-59.8167,30.97,18,53,4.48,PY,1725838823
350,victoria,22.2855,114.1577,28.51,85,100,2.68,HK,1725838576
351,saint-francois,46.4154,3.9054,14.25,93,67,3.29,FR,1725838825
352,fuerte olimpo,-21.0415,-57.8738,30.26,17,43,1.67,PY,1725838827
353,ataq,14.5377,46.8319,26.71,55,67,2.31,YE,1725838828
354,luderitz,-26.6481,15.1594,11.3,80,0,13.49,NA,1725838829
355,leh,34.1667,77.5833,10.61,53,20,1.95,IN,1725838830
356,nola,40.922,14.5329,29.25,56,100,2.37,IT,1725838831
357,chonchi,-42.6128,-73.8092,6.11,96,74,1.69,CL,1725838832
358,manokwari,-0.8667,134.0833,27.55,74,15,0.7,ID,1725838836
359,airuk,7.2772,168.8203,28.8,75,69,5.9,MH,1725838837
360,novyy urengoy,66.0833,76.6333,0.33,74,30,8.81,RU,1725838838
361,rundu,-17.9333,19.7667,17.94,18,6,2.15,NA,1725838839
362,ha'il,27.5219,41.6907,29.01,21,0,1.03,SA,1725838840
363,lijiang,26.8688,100.2207,16.39,94,94,0.87,CN,1725838842
